dataset,channel,temp_C,cycle,weeks,type,date,file_path,pattern_chunks
main_cell,ch2,25,900,,DCIR,2022-11-23,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_11_23_에기연 열화셀_25deg_900cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1000,,DCIR,2022-11-29,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_11_29_에기연 열화셀_25deg_1000cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1100,,DCIR,2022-12-09,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_12_09_에기연 열화셀_25deg_1100cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1200,,DCIR,2022-12-21,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_12_21_에기연 열화셀_25deg_1200cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1300,,DCIR,2023-01-05,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\23_01_05_에기연 열화셀_25deg_1300cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,3000,,DCIR,2023-05-23,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\23_05_23_에기연 열화셀_25deg_3000cycle_DCIR_ch2_M01Ch002(002).csv,
main_cell,ch2,25,0,,DCIR후충전,2022-09-21,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_09_21_에기연 열화셀_25deg_DCIR 후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,100,,DCIR후충전,2022-09-27,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_09_27_에기연 열화셀_25deg_100cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,200,,DCIR후충전,2022-10-06,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_10_06_에기연 열화셀_25deg_200cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
main_cell,ch2,25,300,,DCIR후충전,2022-10-13,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\DCIR\22_10_13_에기연 열화셀_25deg_300cycle_DCIR후 충전_ch2_M01Ch002(002).csv,
